[street];[city];[region];[zip];[tin];[phone]
Bulw. Szymañskiego Jana;Legnica;ma³opolskie;81-534;687-98-73-937;574663949
ul. Ró¿a Wiatrów;Œwierków;œl¹skie;22-630;918-82-71-181;576705833
ul. Œmigielska;Krynica-Zdrój;warmiñsko-mazurskie;01-428;781-93-92-132;260700133
ul. Brzechwy Jana;Ostrów Wielkopolski;pomorskie;72-200;638-25-77-321;179845041
ul. Dmowskiego Romana;Biskupie;pomorskie;80-842;164-27-71-260;349277607
ul. Topolowa;Zawada;œl¹skie;21-040;526-63-99-399;179367865
ul. Orlego Lotu;Olszownica;wielkopolskie;01-966;143-43-72-948;333874907
ul. Bacholiñska;Nysa;mazowieckie;66-542;577-11-94-7510;964676382
ul. Œciegiennego Piotra (Ksiêdza Piotra Œciegiennego);Lublin;kujawsko-pomorskie;11-100;964-46-15-996;719278476
ul. Tuchliñska;Wroc³aw;opolskie;85-346;157-88-41-9510;892263675
ul. Jasiñskiego Jakuba;Wroc³aw;mazowieckie;31-980;138-63-79-271;938782527
ul. £om¿yñska;Warszawa;œwiêtokrzyskie;42-431;417-17-55-598;362175995
ul. Matki Teresy z Kalkuty;Warszawa;mazowieckie;18-410;871-46-44-452;847811263
ul. Mazowiecka;Karakule;œwiêtokrzyskie;54-029;781-89-82-280;151612508
ul. Motylkowa;Kraków;dolnoœl¹skie;33-140;802-28-49-913;186542221
ul. Zalesie;Czêstochowa;ma³opolskie;00-899;671-71-82-117;911991332
ul. Boczniaków;Sopot;opolskie;44-200;744-55-19-111;351807108
ul. Bia³a;Gdañsk;mazowieckie;05-800;353-43-82-410;437209878
ul. Krucza;Sosnowiec;mazowieckie;18-516;751-16-92-221;346357702
ul. Ksi¹¿¹t Opolskich;Koszalin;œl¹skie;10-686;785-53-46-213;366324254
ul. Marcinkowicka;Grodzisko Dolne;mazowieckie;85-151;853-82-98-976;365155401
ul. Hauke-Bosaka Józefa;Orczów;zachodniopomorskie;11-400;461-58-47-1810;890951417
ul. Œl¹ska;Zajki;mazowieckie;59-222;657-44-77-747;567890542
ul. Wiosenna;Siemiatycze;kujawsko-pomorskie;41-709;356-33-21-380;354238373
ul. Chodkiewicza Karola;Nowe Kichary;wielkopolskie;37-600;121-47-28-314;949810097
ul. Viewegera Teodora;Bytom;dolnoœl¹skie;58-407;651-27-66-748;541154460
ul. GoŸdzikowska;Klejniki;³ódzkie;42-400;271-75-83-989;225772930
ul. Armii Krajowej;Bytom;kujawsko-pomorskie;59-140;655-61-97-526;919369895
ul. Brudziñskiego Józefa;Bia³ystok;mazowieckie;08-470;948-37-58-927;873379689
ul. Oliwkowa;Knurów;mazowieckie;64-040;771-18-74-866;487195000
ul. Rynek;U³any;lubelskie;43-344;311-38-21-390;864189649
ul. Sempo³owskiej Stefanii;Ostro³êka;wielkopolskie;16-010;366-12-17-488;980443299
ul. Reja Miko³aja;Wrz¹ca;wielkopolskie;90-023;147-34-97-269;451726610
ul. Zamieniecka;Pieñki;podkarpackie;99-150;229-16-41-873;469856054
ul. Planetorza W³adys³awa;Trzebinia;podlaskie;04-049;809-78-42-246;958020266
ul. ¯ywnego Wojciecha;Soko³ów Ma³opolski;mazowieckie;09-215;791-72-24-134;250428170
ul. Armii Ludowej;Korolówka-Kolonia;mazowieckie;39-308;264-12-85-693;237530456
ul. Lokatorska;Szczedrzyk;kujawsko-pomorskie;38-422;521-12-58-6510;942093648
ul. Wierna;Ruda Œl¹ska;dolnoœl¹skie;61-418;851-62-36-5710;974244346
ul. Piastowska;Komorniki;mazowieckie;32-083;453-93-94-720;233001820
ul. Galicy Andrzeja;Legnica;mazowieckie;81-805;642-37-76-225;889002296
ul. Limby;Uniejów-Kolonia;lubuskie;81-725;694-85-77-123;329625582
ul. Boisko;Rzeszów;œl¹skie;19-335;683-57-13-783;591693068
ul. B4;Szczecin;podkarpackie;06-212;138-56-14-5710;562934294
ul. Kossaka Juliusza;Wroc³aw;mazowieckie;41-412;948-85-75-999;515490636
ul. Siano¿êæ;Gdynia;podlaskie;60-446;792-49-66-144;463281591
ul. Szafirowa;Szlaga;ma³opolskie;26-220;634-93-93-980;771073228
ul. Balicka;Œwidnica;pomorskie;47-100;238-88-37-749;128955937
ul. Rybacka;Jaros³aw;œl¹skie;45-442;435-19-55-198;493217851
ul. Organizacji Wolnoœæ i Niezawis³oœæ;£owinia;³ódzkie;97-318;992-53-78-743;867014548
ul. Ma³owiejska;Zofijówka;œl¹skie;16-030;413-74-35-397;653484751
ul. Jêdrzejowskiego Henryka;Idalin;lubuskie;05-805;839-76-82-861;363489257
ul. Wigierska;Kraków;pomorskie;30-621;838-85-34-420;523254523
ul. Towarowa;Poznañ;kujawsko-pomorskie;25-149;799-39-16-755;136706777
ul. GoŸdzikowa;Czêstochowa;podlaskie;32-340;442-97-21-678;971972842
ul. Œwiêtego Jana;Warszawa;mazowieckie;64-000;789-57-77-784;180641373
Targ. Miejskie Flora;Siemianowice Œl¹skie;wielkopolskie;07-214;699-57-36-459;998513722
ul. Kwiatka Józefa;Legnica;wielkopolskie;32-415;294-69-65-913;685261276
ul. Wieczorynki;Lublin;mazowieckie;41-707;485-61-64-317;378112056
ul. O¿arowska;Przemyœl;lubuskie;42-280;966-85-98-114;203585199
ul. Pomarañczowa;Kierzkowo;mazowieckie;04-806;187-83-77-148;455949115
ul. Prosta;Suwa³ki;mazowieckie;18-200;612-37-31-773;466170914
ul. Podwalna;Wola B³êdowska;dolnoœl¹skie;35-015;882-88-34-297;577436945
Park Konopnickiej Marii;Grodzisk Mazowiecki;œl¹skie;92-430;599-38-24-618;947741898
ul. Herbowa;Poznañ;dolnoœl¹skie;18-204;903-23-49-377;337529270
ul. Zajêcza;Pólko;podkarpackie;70-713;123-23-35-111;119385855
ul. Agrestowa;Skwirtne;mazowieckie;31-801;861-69-49-1410;686904062
